"orderid","channel","transid","accountid","productid","money","currency","status","orderdetail","ordermd5","mtime","ctime","openid","fopenid","totaljewel","platform","openid"
"9-49-100720143-1559398235-com.pg2.nikkisea.pack599g-lbnikkien.mto.zing.vn-9790-1","9","20190601141038-5cf2875e1799b","100720143","com.pg2.nikkisea.pack599g","101081","usd","0","[]","ÔŒÙ\0²é€\t˜ìøB~","2019-06-01 22:10:53","2019-06-01 22:10:53","","","0","1","101371896948137652626"
"9-63-100504855-1559398471-com.pg2.nikkisea.pack99f-lbnikkien.mto.zing.vn-9790-1","9","20190601141433-5cf288499dbc3","100504855","com.pg2.nikkisea.pack99f","16706","usd","0","[]","ÔŒÙ\0²é€\t˜ìøB~","2019-06-01 22:14:47","2019-06-01 22:14:47","","","0","1","115494969742432651163"
