"orderid","channel","transid","accountid","productid","money","currency","status","orderdetail","ordermd5","mtime","ctime","openid","fopenid","totaljewel","platform","openid"
"9-39-100723877-1559354564-com.pg2.nikkisea.pack1499d-lbnikkien.mto.zing.vn-9790-1","9","20190601020244-5cf1dcc4a3b81","100723877","com.pg2.nikkisea.pack1499d","252956","usd","0","[]","ÔŒÙ\0²é€\t˜ìøB~","2019-06-01 10:03:15","2019-06-01 10:03:15","","","0","1","10205773910063585"
"9-78-100227572-1559354506-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190601020147-5cf1dc8b39c9a","100227572","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":378}]]","ÔŒÙ\0²é€\t˜ìøB~","2019-06-01 10:02:01","2019-06-01 10:02:01","","","0","1","10154943627448865"
"9-78-100227572-1559354683-com.pg2.nikkisea.diamond188-lbnikkien.mto.zing.vn-9790-1","9","20190601020444-5cf1dd3c7009f","100227572","com.pg2.nikkisea.diamond188","50456","usd","0","[[{"id":0,"type":4,"num":188},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ÔŒÙ\0²é€\t˜ìøB~","2019-06-01 10:04:56","2019-06-01 10:04:56","","","0","1","10154943627448865"
