"orderid","channel","transid","accountid","productid","money","currency","status","orderdetail","ordermd5","mtime","ctime","openid","fopenid","totaljewel","platform","openid"
"9-39-100725315-1559345705-com.pg2.nikkisea.diamond120-lbnikkien.mto.zing.vn-9790-0","9","20190531233506-5cf1ba2a272cb","100725315","com.pg2.nikkisea.diamond120","33581","usd","0","[[{"id":0,"type":4,"num":240},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ÔŒÙ\0²é€\t˜ìøB~","2019-06-01 07:35:16","2019-06-01 07:35:16","","","0","0","114815195802093583496"
"9-39-100725315-1559345786-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-0","9","20190531233627-5cf1ba7b53ee7","100725315","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":378}]]","ÔŒÙ\0²é€\t˜ìøB~","2019-06-01 07:36:39","2019-06-01 07:36:39","","","0","0","114815195802093583496"
