"orderid","channel","transid","accountid","productid","money","currency","status","orderdetail","ordermd5","mtime","ctime","openid","fopenid","totaljewel","platform","openid"
"9-39-100725315-1559345477-com.pg2.nikkisea.diamond188-lbnikkien.mto.zing.vn-9790-0","9","20190531233118-5cf1b94639287","100725315","com.pg2.nikkisea.diamond188","50456","usd","0","[[{"id":0,"type":4,"num":376},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 07:31:47","2019-06-01 07:31:47","","","0","0","114815195802093583496"
"9-39-100725315-1559345705-com.pg2.nikkisea.diamond120-lbnikkien.mto.zing.vn-9790-0","9","20190531233506-5cf1ba2a272cb","100725315","com.pg2.nikkisea.diamond120","33581","usd","0","[[{"id":0,"type":4,"num":240},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 07:35:16","2019-06-01 07:35:16","","","0","0","114815195802093583496"
"9-39-100725315-1559345786-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-0","9","20190531233627-5cf1ba7b53ee7","100725315","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":378}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 07:36:39","2019-06-01 07:36:39","","","0","0","114815195802093583496"
"9-39-100725315-1559346224-com.pg2.nikkisea.pack199g-lbnikkien.mto.zing.vn-9790-0","9","20190531234344-5cf1bc3050d01","100725315","com.pg2.nikkisea.pack199g","33581","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 07:43:54","2019-06-01 07:43:54","","","0","0","114815195802093583496"
"9-39-100725315-1559346289-com.pg2.nikkisea.diamond188-lbnikkien.mto.zing.vn-9790-0","9","20190531234449-5cf1bc71a25fb","100725315","com.pg2.nikkisea.diamond188","50456","usd","0","[[{"id":0,"type":4,"num":188},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 07:44:57","2019-06-01 07:44:57","","","0","0","114815195802093583496"
"9-39-100725315-1559346342-com.pg2.nikkisea.diamond188-lbnikkien.mto.zing.vn-9790-0","9","20190531234542-5cf1bca6ef761","100725315","com.pg2.nikkisea.diamond188","50456","usd","0","[[{"id":0,"type":4,"num":188},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 07:45:50","2019-06-01 07:45:50","","","0","0","114815195802093583496"
"9-39-100725315-1559346519-com.pg2.nikkisea.diamond120-lbnikkien.mto.zing.vn-9790-0","9","20190531234839-5cf1bd57df238","100725315","com.pg2.nikkisea.diamond120","33581","usd","0","[[{"id":0,"type":4,"num":120},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 07:48:48","2019-06-01 07:48:48","","","0","0","114815195802093583496"
"9-39-100725315-1559367936-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-0","9","20190601054537-5cf2110112de4","100725315","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":378}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 13:45:48","2019-06-01 13:45:48","","","0","0","114815195802093583496"
"9-45-100023924-1559352447-com.pg2.nikkisea.pack1499d-lbnikkien.mto.zing.vn-9790-1","9","20190601012729-5cf1d4814d07f","100023924","com.pg2.nikkisea.pack1499d","252956","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 09:27:49","2019-06-01 09:27:49","","","0","1","115897500131839844775"
"9-45-100490182-1559339147-com.pg2.nikkisea.pack1499d-lbnikkien.mto.zing.vn-9790-0","9","20190531214550-5cf1a08ea1a47","100490182","com.pg2.nikkisea.pack1499d","252956","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 05:46:01","2019-06-01 05:46:01","","","0","0","10211102390944369"
