"orderid","channel","transid","accountid","productid","money","currency","status","orderdetail","ordermd5","mtime","ctime","openid","fopenid","totaljewel","platform","openid"
"9-48-100700393-1559349882-com.pg2.nikkisea.pack99q-lbnikkien.mto.zing.vn-9790-1","9","20190601004447-5cf1ca7fce76d","100700393","com.pg2.nikkisea.pack99q","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 08:45:30","2019-06-01 08:45:30","","","0","1","2397845566911881"
"9-58-100697065-1559350109-com.pg2.nikkisea.pack99pp-lbnikkien.mto.zing.vn-9790-1","9","20190601004830-5cf1cb5ea28b7","100697065","com.pg2.nikkisea.pack99pp","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 08:48:50","2019-06-01 08:48:50","","","0","1","106298774120008781206"
"9-85-100609170-1559349277-com.pg2.nikkisea.pack299h-lbnikkien.mto.zing.vn-9790-1","9","20190601003438-5cf1c81e516a8","100609170","com.pg2.nikkisea.pack299h","50456","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 08:34:53","2019-06-01 08:34:53","","","0","1","101728780288832805280"
"9-99-100190466-1559347819-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-0","9","20190601001019-5cf1c26b6bc75","100190466","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":756}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 08:10:33","2019-06-01 08:10:33","","","0","0","106113374257126492675"
