"orderid","channel","transid","accountid","productid","money","currency","status","orderdetail","ordermd5","mtime","ctime","openid","fopenid","totaljewel","platform","openid"
"9-38-100720747-1559368862-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-0","9","20190601060103-5cf2149f62160","100720747","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":756}]]","ÔŒÙ\0²é€\t˜ìøB~","2019-06-01 14:01:18","2019-06-01 14:01:18","","","0","0","103865370244404399584"
"9-69-100631388-1559369593-com.pg2.nikkisea.pack599h-lbnikkien.mto.zing.vn-9790-1","9","20190601061314-5cf2177a769bd","100631388","com.pg2.nikkisea.pack599h","101081","usd","0","[]","ÔŒÙ\0²é€\t˜ìøB~","2019-06-01 14:13:47","2019-06-01 14:13:47","","","0","1","2230336636993036"
"9-96-100200989-1559369497-com.pg2.nikkisea.pack299g-lbnikkien.mto.zing.vn-9790-0","9","20190601061137-5cf217198e50a","100200989","com.pg2.nikkisea.pack299g","50456","usd","0","[]","ÔŒÙ\0²é€\t˜ìøB~","2019-06-01 14:11:49","2019-06-01 14:11:49","","","0","0","10154918487644401"
