"orderid","channel","transid","accountid","productid","money","currency","status","orderdetail","ordermd5","mtime","ctime","openid","fopenid","totaljewel","platform","openid"
"9-27-100726771-1559321979-com.pg2.nikkisea.diamond120-lbnikkien.mto.zing.vn-9790-0","9","20190531165940-5cf15d7c188bc","100726771","com.pg2.nikkisea.diamond120","33581","usd","0","[[{"id":0,"type":4,"num":120},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ÔŒÙ\0²é€\t˜ìøB~","2019-06-01 01:00:02","2019-06-01 01:00:02","","","0","0","433271894169158"
"9-56-100668685-1559323571-com.pg2.nikkisea.pack199h-lbnikkien.mto.zing.vn-9790-0","9","20190531172612-5cf163b488477","100668685","com.pg2.nikkisea.pack199h","33581","usd","0","[]","ÔŒÙ\0²é€\t˜ìøB~","2019-06-01 01:27:28","2019-06-01 01:27:28","","","0","0","20180712041638153136899815718"
"9-99-100214375-1559323128-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-0","9","20190531171850-5cf161faf3a40","100214375","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":378}]]","ÔŒÙ\0²é€\t˜ìøB~","2019-06-01 01:19:04","2019-06-01 01:19:04","","","0","0","10156457189388539"
