"orderid","channel","transid","accountid","productid","money","currency","status","orderdetail","ordermd5","mtime","ctime","openid","fopenid","totaljewel","platform","openid"
"9-56-100668685-1559394114-com.pg2.nikkisea.pack299f-lbnikkien.mto.zing.vn-9790-0","9","20190601130156-5cf27744a1533","100668685","com.pg2.nikkisea.pack299f","50456","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 21:02:55","2019-06-01 21:02:55","","","0","0","20180712041638153136899815718"
"9-58-100697065-1559394768-com.pg2.nikkisea.pack199e-lbnikkien.mto.zing.vn-9790-1","9","20190601131248-5cf279d0c820f","100697065","com.pg2.nikkisea.pack199e","33581","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 21:13:14","2019-06-01 21:13:14","","","0","1","106298774120008781206"
"9-9-100729362-1559395331-com.pg2.nikkisea.packluckcoin-lbnikkien.mto.zing.vn-9790-1","9","20190601132215-5cf27c0790ffe","100729362","com.pg2.nikkisea.packluckcoin","16706","usd","0","[]","ﾔ雇十0ｲ騾\t們~","2019-06-01 21:22:33","2019-06-01 21:22:33","","","0","1","2670890146257908"
"9-9-100729362-1559395669-com.pg2.nikkisea.diamond188-lbnikkien.mto.zing.vn-9790-1","9","20190601132753-5cf27d594f9c3","100729362","com.pg2.nikkisea.diamond188","50456","usd","0","[[{"id":0,"type":4,"num":376},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 21:28:05","2019-06-01 21:28:05","","","0","1","2670890146257908"
"9-94-100024526-1559397497-com.pg2.nikkisea.diamond668-lbnikkien.mto.zing.vn-9790-1","9","20190601135817-5cf28479c32e6","100024526","com.pg2.nikkisea.diamond668","168581","usd","0","[[{"id":0,"type":4,"num":668},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 21:58:32","2019-06-01 21:58:32","","","0","1","1376306342399783"
"9-99-100248423-1559395602-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-0","9","20190601132642-5cf27d127fc0e","100248423","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":756}]]","ﾔ雇十0ｲ騾\t們~","2019-06-01 21:27:04","2019-06-01 21:27:04","","","0","0","108973296951133002055"
