"orderid","channel","transid","accountid","productid","money","currency","status","orderdetail","ordermd5","mtime","ctime","openid","fopenid","totaljewel","platform","openid"
"9-56-100691095-1559316822-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-1","9","20190531153347-5cf1495b2becf","100691095","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":756}]]","ÔŒÙ\0²é€\t˜ìøB~","2019-05-31 23:34:12","2019-05-31 23:34:12","","","0","1","514697469002070"
"9-58-100151495-1559316248-com.pg2.nikkisea.diamond120-lbnikkien.mto.zing.vn-9790-1","9","20190531152409-5cf14719981e6","100151495","com.pg2.nikkisea.diamond120","33581","usd","0","[[{"id":0,"type":4,"num":240},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0},{"id":0,"type":0,"num":0}]]","ÔŒÙ\0²é€\t˜ìøB~","2019-05-31 23:24:29","2019-05-31 23:24:29","","","0","1","1028875720582108"
"9-92-100163833-1559317949-com.pg2.nikkisea.diamond377-lbnikkien.mto.zing.vn-9790-0","9","20190531155229-5cf14dbda8388","100163833","com.pg2.nikkisea.diamond377","101081","usd","0","[[{"id":0,"type":4,"num":756}]]","ÔŒÙ\0²é€\t˜ìøB~","2019-05-31 23:52:56","2019-05-31 23:52:56","","","0","0","1517701561574919"
